id,section,item,source,verbatim_anchor,reviewed,changed,medically_necessary
1.1,"1 · Wound Type, Location & Description","Wound is one of the three covered categories: (A) neuropathic DFU, (B) venous stasis/hypertension VLU, (C) full-thickness loss from abscess/injury/trauma with ≥4 wks failed disease control",L35041,""" Presence of neuropathic diabetic foot ulcer(s) having failed to respond to documented conservative wound-care measures of greater than four weeks, during which the patient is compliant with recommendations, and without evidence of underlying osteomyelitis or nidus of infection.
Presence of a venous stasis ulcer for at least 3 months but unresponsive to appropriate wound care for at least 30 days with documented compliance.
Presence of a full thickness skin loss ulcer that is the result of abscess, injury or trauma that has failed to respond to appropriate control of infection, foreign body, tumor resection, or other disease process for a period of 4 weeks or longer.”",,no,
1.2,"1 · Wound Type, Location & Description",Wound is on the lower extremity,L35041,"""…management of chronic non-healing wounds or skin deficits of the lower extremities.""",,no,
1.3,"1 · Wound Type, Location & Description",Wound is ≥ 1.0 cm²,L35041,"""Skin deficit at least 1.0 square centimeter (cm) in size.""",,no,
1.4,"1 · Wound Type, Location & Description","Partial-/full-thickness without tendon, muscle, joint capsule, exposed bone, or sinus tracts — UNLESS the planned CTP’s FDA package label indicates the product is approved for use involving those structures, in which case the structure-involvement exclusion is lifted for that product. Resolution now requires the planned-product identity and its labeled indications → couples 1.4 to 5.3.",L35041,"""Partial- or full-thickness ulcers, not involving tendon, muscle, joint capsule or exhibiting exposed bone or sinus tracts, with a clean granular base."" + (new revision) ""…with a clean granular base unless the CTP package label indicates the CTP is approved for use involving tendon, muscle, joint capsule or exhibiting exposed bone or sinus tracts…"" Corroborated: ""All listed products, unless they are specifically FDA-labeled or cleared for use in the types of wounds being treated, will be considered not reasonable and necessary…"" [Confirm verbatim vs. full revision PDF (source has duplication artifact) + SME review. Citable R19 ≠ revision delta.]",,no,
1.5,"1 · Wound Type, Location & Description","Clean granular base, free of necrotic debris and exudate",L35041,"""Clean and free of necrotic debris or exudate""; ""with a clean granular base.""",,no,
1.6,"1 · Wound Type, Location & Description",EXCLUSION — partial-thickness loss with retained epithelial appendages,L35041,"""Partial thickness loss with the retention of epithelial appendages is not a candidate for grafting or replacement…""",,no,
2.1,2 · Conservative Treatment & Failed Response,"IF DFU: failed documented conservative care > 4 weeks, patient compliant, no underlying osteomyelitis or nidus of infection",L35041,"""Presence of neuropathic diabetic foot ulcer(s) having failed to respond to documented conservative wound-care measures of greater than four weeks, during which the patient is compliant…and without evidence of underlying osteomyelitis or nidus of infection.""",,no,
2.2,2 · Conservative Treatment & Failed Response,"IF VLU: ulcer present ≥ 3 months AND unresponsive to appropriate care ≥ 30 days, documented compliance",L35041,"""Presence of a venous stasis ulcer for at least 3 months but unresponsive to appropriate wound care for at least 30 days with documented compliance.""",,no,
2.3,2 · Conservative Treatment & Failed Response,IF trauma/abscess: full-thickness loss failed appropriate infection/foreign-body/tumor/disease control ≥ 4 weeks,L35041,"""…full thickness skin loss ulcer that is the result of abscess, injury or trauma that has failed to respond to appropriate control of infection, foreign body, tumor resection, or other disease process for a period of 4 weeks or longer.""",,no,
2.4,2 · Conservative Treatment & Failed Response,"Documented ""Failed Response"": increased in size/depth, OR no change AND no sign improvement is likely (no granulation/epithelialization/progress toward closing)",L35041,"""A 'Failed Response' is defined as an ulcer or skin deficit that has failed to respond…has increased in size or depth, or has not changed…and has no indication that improvement is likely (such as granulation, epithelialization or progress towards closing).""",,no,
2.5,2 · Conservative Treatment & Failed Response,Applicable conservative measures documented as attempted (edema/venous/lymphedema control; infection/colonization control; eliminate cellulitis/osteomyelitis/foreign body/malignancy; debridement; DFU offloading; VLU compression >20 mmHg; protective wound environment),L35041 (detail in L35125),"""Appropriate therapy includes, but is not limited to: Control of edema, venous hypertension or lymphedema; Control of any nidus of infection or colonization; Elimination of underlying cellulitis, osteomyelitis, foreign body, or malignant process; Appropriate debridement…; For diabetic foot ulcers, appropriate non-weight bearing or off-loading…; For venous stasis ulcers, compression therapy…stockings of greater than 20 mmHg…""",,no,
